in2 | arrSize: 150000 | type: Short -> maxInput: 764
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in2 | arrSize: 150000 | type: Short -> maxInput: 766
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 925
in2 | arrSize: 150000 | type: Short -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in2 | arrSize: 150000 | type: Short -> maxInput: 681
in0 | arrSize: 150000 | type: int -> maxInput: 12499
in1 | arrSize: 150000 | type: Short -> maxInput: 779
in2 | arrSize: 150000 | type: Short -> maxInput: 745
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Short -> maxInput: 776
in2 | arrSize: 150000 | type: Short -> maxInput: 858
